Date,Close/Last,Open,High,Low
11/08/2023,109.1608,111.5091,112.0239,108.6509
11/07/2023,112.3323,113.4915,113.7077,110.37
11/06/2023,115.0481,115.8665,116.4045,114.9601
11/03/2023,116.2481,112.9168,117.3528,112.908
11/02/2023,111.5427,111.5922,112.0267,110.1925
11/01/2023,110.6942,111.704,111.7705,109.0799
10/31/2023,111.2504,113.054,113.9756,110.3337
10/30/2023,113.7032,115.2847,115.6091,113.1779
10/27/2023,115.0735,113.5176,115.1391,111.7143
10/26/2023,112.8933,113.9931,114.2438,111.2465
10/25/2023,113.8262,115.0534,116.7453,113.8262
10/24/2023,115.7182,114.3582,116.0423,114.3409
10/23/2023,115.593,115.5831,116.7575,112.9003
10/20/2023,116.3305,116.9921,118.9585,116.2802
10/19/2023,116.4786,116.3092,116.8789,114.8878
10/18/2023,116.5791,118.5336,119.3207,116.1962
10/17/2023,117.2196,114.6331,117.2393,114.356
10/16/2023,114.7301,113.9958,115.4954,113.5108
10/13/2023,114.3455,112.6142,114.97,112.4732
10/12/2023,109.593,112.0427,112.3297,108.9775
10/11/2023,112.075,111.5349,112.1027,110.4958
10/10/2023,109.8483,109.4676,110.1463,108.8212
10/09/2023,108.938,108.6702,109.3183,108.1838
10/06/2023,106.6562,104.7135,107.3863,104.2709
10/05/2023,104.3724,103.0496,104.3724,102.7731
10/04/2023,103.3142,104.1241,104.3081,102.4355
10/03/2023,104.2188,102.9798,104.8167,102.3931
10/02/2023,103.5299,105.8617,105.8617,102.9861
09/29/2023,107.4776,109.5928,109.9293,106.4979
09/28/2023,107.8573,107.1593,107.9135,106.3816
09/27/2023,107.1889,109.3834,109.4897,106.1203
09/26/2023,110.0503,112.5647,112.5665,110.0312
09/25/2023,113.4079,113.6039,114.0059,112.2754
09/22/2023,114.5751,116.2769,116.9539,114.5223
09/21/2023,115.0942,115.4733,116.3324,114.666
09/20/2023,118.0547,117.3171,119.6512,117.2577
09/19/2023,116.9369,119.1734,119.1922,116.6789
09/18/2023,118.9308,118.7974,119.3618,117.6781
